Codigo,Practica,Lazarte_pedido,BRAMED,Boreal_propuesta,Valor_mas_alto,Nota
420101,,,,,,
420102,,,,,,
420103,,,,,,
420104,,,,,,
420105,Dermatología,22000,22000,,22000,
420106,Consulta oftalmológica,22000,22000,22000,22000,
305001,Retina – angiografía/retinografía,50000,50000,33800,50000,
305006,Glaucoma – campo visual,40000,40000,20000,40000,
305007,Láser – capsulotomía YAG,125000,125000,106000,125000,
305008,Glaucoma – curva tensional,12000,12000,12000,12000,
305011,Catarata – biometría/ecometría,18000,18000,14000,18000,
305012,Ortóptica – ejercicios por sesión,6000,6000,6000,6000,
305017,Pediatría – examen bajo anestesia general,160000,160000,,160000,
305018,Estrabismo – examen sensorial y motor,45000,45000,20000,45000,
305022,Retina – fondo de ojo neonatal (ROP),35000,25000,25000,35000,
305023,Fondo de ojo (>120 días),5000,5000,5000,5000,BRAMED: Es correcto?
305024,Retina – fotocoagulación láser,130000,130000,100000,130000,
305025,Glaucoma – gonioscopía,12000,12000,12000,12000,
305030,Córnea/Catarata – paquimetría,21000,21000,14000,21000,
305032,Catarata/Córnea – recuento endotelial,45000,45000,,45000,
305043,Retina/Glaucoma – OCT,75000,75000,60000,75000,
305046,Córnea – topografía corneal,38500,38500,25000,38500,
305047,"Córnea/Catarata premium – topografía de elevación/aberrometría",60000,60000,,60000,
25610,Córnea – sutura simple (urgencia),325000,325000,325000,325000,
25611,Córnea – sutura compleja con prolapso uveal,400000,400000,350000,400000,
25613,Córnea – trasplante penetrante (sin insumos),2500000,Por presupuesto,,2500000,
25701,Estrabismo – cirugía,875000,875000,650000,875000,
25801,Glaucoma – láser (SLT / iridotomía),300000,300000,150000,300000,
25802,Glaucoma – ciclodestrucción / ciclofotocoagulación,350000,350000,350000,350000,
25806,Glaucoma – trabeculectomía / viscocanalostomía,800000,800000,450000,800000,
25003,Órbita – enucleación/evisceración (sin implante),555000,555000,400000,555000,
25007,Inyección subconjuntival/parabulbar (sin sustancia),75000,75000,20000,75000,
25008,Órbita – orbitotomía / biopsia tumor,1050000,1050000,850000,1050000,
25010,Órbita – reparación plástica de cavidad (sin implante),1075000,1075000,795000,1075000,
25101,Párpados – blefaroplastia terapéutica,300000,300000,300000,300000,
25103,Párpados – ectropion/entropion/tarsorrafia,300000,300000,300000,300000,
25104,Párpados – escisión/biopsia de lesión (incluye CHALAZIÓN),180000,180000,150000,180000,
25108,Párpados – reconstrucción compleja >50%,525000,525000,450000,525000,
25111,Párpados – sutura (urgencia),160000,160000,150000,160000,
25113,Oculoplastia – aplicación de toxina botulínica (sin toxina),80000,80000,,80000,
25204,Vía lagrimal – DCR externa (sin set de intubación),650000,650000,450000,650000,
25209,Vía lagrimal – sondaje bajo anestesia general,225000,225000,225000,225000,
25301,Conjuntiva – pterigion con injerto,320000,320000,320000,320000,
25302,Conjuntiva – biopsia/sutura conjuntival,160000,160000,160000,160000,
25401,Retina – aspiración/toma de muestra vítrea,375000,375000,375000,375000,
25402,Retina – desprendimiento (buckling/pexia),925000,925000,925000,925000,
25403,Retina – vitrectomía posterior (hemovítreo/CEIO),1850000,1850000,1700000,1850000,
25407,Retina – inyección intravítrea (incluye antiangiogénico),350000,350000,250000,350000,
25411,Retina – vitrectomía anterior,775000,775000,775000,775000,
25501,"Segmento anterior – lavado/extracción masas o CE en cámara anterior",450000,450000,450000,450000,
25504,CATARATA – faco + LIO monofocal estándar,1050000,,950000,1050000,"BRAMED: Lente a cargo del afiliado, cotizar cirugia"
25601,Refractiva – excimer láser (por ojo),850000,850000,,850000,
25603,Córnea – cross-linking (sin riboflavina),1000000,1000000,,1000000,
25605,Córnea – extracción CE / biopsia en quirófano,275000,140000,230000,275000,
25607,Córnea – anillos intraestromales (sin segmentos ni femto),900000,900000,800000,900000,
25609,"Córnea – recubrimiento con membrana amniótica (sin membrana)",450000,450000,300000,450000,
