Codigo,Practica,Valor
420106,Consulta oftalmológica,22000
305001,Retina – angiografía/retinografía,45000
305006,Glaucoma – campo visual,33000
305007,Láser – capsulotomía YAG,119000
305008,Glaucoma – curva tensional,12000
305011,Catarata – biometría/ecometría,17000
305012,Ortóptica – ejercicios por sesión,6000
305017,Pediatría – examen bajo anestesia general,160000
305018,Estrabismo – examen sensorial y motor,37000
305022,Retina – fondo de ojo neonatal (ROP),28000
305023,Fondo de ojo (>120 días),65000
305024,Retina – fotocoagulación láser,120000
305025,Glaucoma – gonioscopía,12000
305030,Córnea/Catarata – paquimetría,19000
305032,Catarata/Córnea – recuento endotelial,45000
305043,Retina/Glaucoma – OCT,70000
305046,Córnea – topografía corneal,34000
305047,"Córnea/Catarata premium – topografía de
 elevación/aberrometría",60000
25610,Córnea – sutura simple (urgencia),325000
25611,Córnea – sutura compleja con prolapso uveal,383000
25613,Córnea – trasplante penetrante (sin insumos),2500000
25701,Estrabismo – cirugía,800000
25801,Glaucoma – láser (SLT / iridotomía),250000
25802,Glaucoma – ciclodestrucción / ciclofotocoagulación,350000
25806,Glaucoma – trabeculectomía / viscocanalostomía,683000
25003,Órbita – enucleación/evisceración (sin implante),503000
25007,Inyección subconjuntival/parabulbar (sin sustancia),57000
25008,Órbita – orbitotomía / biopsia tumor,983000
25010,Órbita – reparación plástica de cavidad (sin implante),982000
25101,Párpados – blefaroplastia terapéutica,300000
25103,Párpados – ectropion/entropion/tarsorrafia,300000
25104,Párpados – escisión/biopsia de lesión (incluye CHALAZIÓN),170000
25108,Párpados – reconstrucción compleja >50%,500000
25111,Párpados – sutura (urgencia),157000
25113,Oculoplastia – aplicación de toxina botulínica (sin toxina),80000
25204,Vía lagrimal – DCR externa (sin set de intubación),583000
25209,Vía lagrimal – sondaje bajo anestesia general,225000
25301,Conjuntiva – pterigion con injerto,320000
25302,Conjuntiva – biopsia/sutura conjuntival,160000
25401,Retina – aspiración/toma de muestra vítrea,375000
25402,Retina – desprendimiento (buckling/pexia),925000
25403,Retina – vitrectomía posterior (hemovítreo/CEIO),1800000
25407,Retina – inyección intravítrea (incluye antiangiogénico),317000
25411,Retina – vitrectomía anterior,775000
25501,"Segmento anterior – lavado/extracción masas o CE en
 cámara anterior",450000
25504,CATARATA – faco + LIO monofocal estándar,1050000
25504-SL,CATARATA – faco SIN lente (lente a cargo del afiliado),800000
25601,Refractiva – excimer láser (por ojo),850000
25603,Córnea – cross-linking (sin riboflavina),1000000
25605,Córnea – extracción CE / biopsia en quirófano,215000
25607,Córnea – anillos intraestromales (sin segmentos ni femto),867000
25609,"Córnea – recubrimiento con membrana amniótica (sin
 membrana)",400000
