Grupo,Entidad,Tipo,Email,Estado_actual,Accion,Responsable
CALIENTE,Sancor Salud,Prepaga,florencia.martinez@sancorsalud.com.ar,En curso,Cerrar,Daniel (Ricky)
CALIENTE,BRAMED Salud,Prepaga,convenios@bramedsalud.com.ar,En curso (acordo valores),Cerrar,Daniel (Ricky)
CALIENTE,Boreal Salud,Gestora/Prepaga,csantillan@e-boreal.com.ar,En curso (contrapropuesta),Cerrar,Daniel (Ricky)
EN CURSO,OPDEA,Obra Social,doviedo@opdea.org.ar,Enviado valores; seguimiento 14/09,Borrador de seguimiento,Claude (draft)
RECONTACTAR,Galeno,Prepaga,doc.mail@galenoargentina.com.ar,Enviado 13/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,Family Salud,Prepaga,areacomercial@familysalud.com.ar,Enviado 21/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,OSMEDICA,Obra Social/Prepaga,gestionmedicos@osmedica.com,Enviado 21/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,Proteccion Medica,Prepaga,admincba@proteccionmedica.com.ar,Enviado 21/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,Sanos,Prepaga,info@sanos.com.ar,Enviado 21/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,PREME,Prepaga,preme@preme.com.ar,Enviado 21/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,Geanet,Gestora,info@geanet.com.ar,Enviado 21/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,Grupo Prolider,Gestora,info@grupoprolider.com.ar,Enviado 14/09 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,UEPC (docentes),Sindicato,saludymat@uepc.org.ar,Enviado 08/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,UTHGRA Cordoba,Sindicato,info@uthgracba.org.ar,Enviado 08/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,CPCE Cordoba,Colegio,cpcecba@cpcecba.org.ar,Enviado 08/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,Caja de Abogados Cordoba,Caja,serviciomedico@caja-abogados.org.ar,Enviado 08/07 sin respuesta,Borrador recontacto,Claude (draft)
RECONTACTAR,CES Camara Entidades Salud,Camara,prestadores@cescordoba.com.ar,Seguimiento sin cierre,Borrador recontacto,Claude (draft)
CORREGIR REBOTE,SIPSSA,Obra Social,a conseguir,Email invalido,Conseguir email valido,Pendiente
CORREGIR REBOTE,CEPSAL,-,a conseguir,Dominio inexistente,Conseguir email valido,Pendiente
CORREGIR REBOTE,CMVM,Colegio,a conseguir,Email invalido,Conseguir email valido,Pendiente
CORREGIR REBOTE,Griff Salud,Prepaga,a conseguir,Dominio inexistente,Conseguir email valido,Pendiente
CONTACTAR NUEVO,Swiss Medical,Prepaga,contratacionesinterior@swissmedical.com.ar,Sin contactar,Tanda 1 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,Medife,Prepaga,convenios@medife.com.ar,Sin contactar,Tanda 1 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,Omint,Prepaga,cgp@omint.com.ar,Sin contactar,Tanda 1 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,Jerarquicos Salud,Prepaga,prestadores@jerarquicos.com,Sin contactar,Tanda 1 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,Medicus,Prepaga,prestadores@medicus.com.ar,Sin contactar,Tanda 1 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,Hominis,Prepaga,prestaciones@hominis.com.ar,Sin contactar,Tanda 1 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSPE (petroleros),Obra Social,obrasocial@ospe.org.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSPIM (maderera),Obra Social,contacto@ospim.com.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSPIC (SICA),Obra Social,ospic@sicacine.org.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSPIT (textil),Obra Social,consultas@ospit.org.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSPIA (alimentacion),Obra Social,ospiacentral@ospia.org.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSPAT (turf),Obra Social,gestionadministrativa@ospat.com.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSDOP (docentes part.),Obra Social,ccpba@osdop.org.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSFE (ferroviaria),Obra Social,contactese@osferroviaria.org.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
CONTACTAR NUEVO,OSSEG (seguros),Obra Social,informacion@osseg.org.ar,Sin contactar,Tanda 2 (proximo),Claude (a confirmar)
